date,division,index
2001-01-01,06,84.60833333333333
2002-01-01,06,86.61666666666667
2003-01-01,06,88.13333333333333
2004-01-01,06,89.325
2005-01-01,06,91.0
2006-01-01,06,92.99166666666667
2007-01-01,06,94.375
2008-01-01,06,96.48333333333332
2009-01-01,06,98.625
2010-01-01,06,100.01666666666668
2011-01-01,06,102.73333333333332
2012-01-01,06,104.81666666666666
2013-01-01,06,106.81666666666666
2014-01-01,06,109.88333333333333
2015-01-01,06,114.75
2016-01-01,06,117.9
2017-01-01,06,120.91666666666669
2018-01-01,06,121.88333333333333
2019-01-01,06,122.65833333333336
2020-01-01,06,124.1
2021-01-01,06,124.64166666666668
2022-01-01,06,125.525
2023-01-01,06,128.18333333333334
2024-01-01,06,130.48333333333332
2025-01-01,06,132.05833333333334
1980-01-01,07,37.78656216645892
1981-01-01,07,40.75808541460109
1982-01-01,07,42.12856294865555
1983-01-01,07,43.151897071808285
1984-01-01,07,45.31765750005584
1985-01-01,07,46.30590194137368
1986-01-01,07,46.49289426908582
1987-01-01,07,47.94076958545789
1988-01-01,07,51.17741890540699
1989-01-01,07,54.6571551364983
1990-01-01,07,57.38088033910519
1991-01-01,07,59.796670386349
1992-01-01,07,62.450745787894405
1993-01-01,07,65.94812682211904
1994-01-01,07,69.00106797285568
1995-01-01,07,70.24839028157204
1996-01-01,07,71.19808020984641
1997-01-01,07,71.6119880559554
1998-01-01,07,71.55467876531898
1999-01-01,07,71.91047258064138
2000-01-01,07,73.39166666666667
2001-01-01,07,76.09166666666667
2002-01-01,07,81.05833333333334
2003-01-01,07,82.40833333333333
2004-01-01,07,83.0
2005-01-01,07,87.76666666666667
2006-01-01,07,97.375
2007-01-01,07,99.64166666666668
2008-01-01,07,108.49166666666667
2009-01-01,07,98.25
2010-01-01,07,100.01666666666668
2011-01-01,07,104.41666666666669
2012-01-01,07,105.14166666666668
2013-01-01,07,107.24166666666667
2014-01-01,07,112.4
2015-01-01,07,107.31666666666666
2016-01-01,07,102.43333333333334
2017-01-01,07,115.925
2018-01-01,07,117.675
2019-01-01,07,114.0
2020-01-01,07,102.61666666666667
2021-01-01,07,113.91666666666669
2022-01-01,07,119.24166666666667
2023-01-01,07,120.53333333333336
2024-01-01,07,121.675
2025-01-01,07,122.23333333333332
2005-01-01,08,104.38333333333333
2006-01-01,08,102.89166666666668
2007-01-01,08,101.65
2008-01-01,08,100.98333333333332
2009-01-01,08,100.51666666666668
2010-01-01,08,100.00833333333333
2011-01-01,08,99.725
2012-01-01,08,99.08333333333331
2013-01-01,08,98.41666666666669
2014-01-01,08,97.725
2015-01-01,08,99.63333333333333
2016-01-01,08,98.05
